Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,01/07/2019,293.5303669,314.0430714,323.4377604,288.3884115
ETH,02/07/2019,289.4528415,293.5804698,301.5106445,279.0722498
ETH,03/07/2019,291.4472478,289.4603019,296.4545036,271.7342248
ETH,04/07/2019,301.4034854,290.8884029,301.9217879,289.2267636
ETH,05/07/2019,293.1470523,301.3994332,303.5310501,291.8720501
ETH,06/07/2019,288.0914836,282.6740531,294.7659627,280.1610757
ETH,07/07/2019,287.2026911,288.0669655,298.0285586,285.4018286
ETH,08/07/2019,305.7988739,287.1971907,310.9137476,284.6029072
ETH,09/07/2019,313.7779112,305.8018718,314.0525399,302.1802774
ETH,10/07/2019,307.7689029,313.7816514,318.0989307,303.4367113
ETH,11/07/2019,289.1743327,308.3446294,314.5001382,281.7234312
ETH,12/07/2019,267.7342738,289.1801623,289.5746751,262.2146591
ETH,13/07/2019,274.6791842,267.7391335,278.9355042,266.0516817
ETH,14/07/2019,267.2689248,275.5647266,275.8469261,262.2602163
ETH,15/07/2019,236.8879114,269.5569639,270.0059583,230.1213864
ETH,16/07/2019,233.0681671,236.8410261,236.8523171,203.8575386
ETH,17/07/2019,200.2220044,233.075819,234.7755554,190.9829445
ETH,18/07/2019,212.2264798,200.2471556,219.7023792,192.4903855
ETH,19/07/2019,224.2387597,211.0360478,226.8850923,206.3666628
ETH,20/07/2019,219.6537524,224.2296353,230.0290444,213.7376459
ETH,21/07/2019,233.1300975,221.0188231,235.7427034,220.4459499
ETH,22/07/2019,225.0877738,233.1174588,234.7287712,217.4643024
ETH,23/07/2019,215.9390349,225.0844931,228.5309067,211.9388611
ETH,24/07/2019,215.5549595,215.9336514,218.9315696,208.5010151
ETH,25/07/2019,215.066558,212.432693,218.027393,201.3905447
ETH,26/07/2019,219.6820637,215.080531,225.5042289,214.8451667
ETH,27/07/2019,217.9143663,219.6669342,220.4622074,212.8870365
ETH,28/07/2019,206.3915854,217.9173501,223.8310754,203.0215743
ETH,29/07/2019,207.3703542,207.3419251,211.3757093,198.1438393
ETH,30/07/2019,211.6551177,211.384044,215.0349629,206.4738276
ETH,31/07/2019,210.0807134,211.6403353,213.9247065,204.8359459
ETH,01/08/2019,216.085927,210.0865878,218.0994618,209.4857311
ETH,02/08/2019,217.3123969,216.0811055,219.2952421,210.786577
ETH,03/08/2019,217.5168016,217.3149634,222.6266434,214.9062998
ETH,04/08/2019,222.1538141,217.5083335,224.3458012,216.8259948
ETH,05/08/2019,222.5023179,222.1758347,223.5262997,217.5653394
ETH,06/08/2019,233.0314056,222.5217636,236.5009297,222.0768086
ETH,07/08/2019,224.5440763,233.0398844,239.247579,222.8415379
ETH,08/08/2019,225.6844684,224.5519475,230.9854118,220.9042766
ETH,09/08/2019,219.2096428,225.6607662,226.6140002,215.245828
ETH,10/08/2019,209.1745628,220.9738876,221.4198018,206.5950705
ETH,11/08/2019,205.9151552,209.1752909,214.3848177,201.6468837
ETH,12/08/2019,214.8954808,206.0072576,216.1195111,205.6597807
ETH,13/08/2019,211.3484238,214.8925889,216.6276584,209.5413326
ETH,14/08/2019,206.9961675,211.3496171,211.3618795,203.4689062
ETH,15/08/2019,189.687623,208.7236345,208.9678049,181.9398753
