File ID,digit_label,intonation
0000000.wav,4,question
0000001.wav,2,excited
0000003.wav,2,bored
0000004.wav,4,excited
0000006.wav,2,neutral
0000009.wav,1,excited
0000010.wav,3,excited
0000012.wav,6,question
0000013.wav,9,bored
0000016.wav,9,bored
0000017.wav,2,bored
0000023.wav,5,question
0000025.wav,4,neutral
0000027.wav,7,excited
0000028.wav,9,question
0000030.wav,1,question
0000031.wav,9,excited
0000032.wav,9,bored
0000033.wav,1,question
0000034.wav,9,excited
0000039.wav,5,question
0000040.wav,4,neutral
0000042.wav,5,neutral
0000046.wav,6,neutral
0000047.wav,3,excited
0000048.wav,9,bored
0000055.wav,7,excited
0000057.wav,3,bored
0000065.wav,5,question
0000067.wav,0,bored
0000071.wav,6,excited
0000072.wav,4,bored
0000076.wav,9,question
0000078.wav,9,neutral
0000081.wav,0,bored
0000086.wav,9,excited
0000087.wav,0,question
0000091.wav,7,neutral
0000096.wav,3,excited
0000098.wav,9,question
0000102.wav,1,neutral
0000107.wav,7,question
0000108.wav,1,neutral
0000113.wav,6,bored
0000117.wav,6,excited
0000118.wav,3,bored
0000119.wav,9,neutral
0000121.wav,9,neutral
0000125.wav,4,bored
0000126.wav,7,neutral
0000130.wav,6,excited
0000131.wav,8,question
0000132.wav,2,excited
0000134.wav,8,bored
0000136.wav,2,question
0000144.wav,3,bored
0000147.wav,4,neutral
0000151.wav,1,bored
0000152.wav,1,bored
0000153.wav,0,question
0000154.wav,1,bored
0000155.wav,3,excited
0000157.wav,5,excited
0000158.wav,5,question
0000163.wav,5,bored
0000164.wav,1,question
0000166.wav,1,question
0000178.wav,0,bored
0000183.wav,2,neutral
0000187.wav,0,bored
0000188.wav,2,neutral
0000193.wav,8,excited
0000196.wav,2,bored
0000197.wav,4,question
0000199.wav,2,excited
0000202.wav,4,question
0000204.wav,9,bored
0000206.wav,3,neutral
0000209.wav,6,excited
0000212.wav,2,bored
0000216.wav,5,excited
0000217.wav,0,bored
0000218.wav,1,bored
0000221.wav,5,neutral
0000225.wav,7,neutral
0000228.wav,4,bored
0000231.wav,8,neutral
0000232.wav,8,neutral
0000239.wav,8,question
0000240.wav,6,question
0000241.wav,6,excited
0000242.wav,0,question
0000243.wav,1,bored
0000248.wav,4,question
0000268.wav,4,excited
0000269.wav,6,neutral
0000277.wav,3,neutral
0000279.wav,3,excited
0000280.wav,1,excited
0000281.wav,8,excited
0000283.wav,2,neutral
0000286.wav,5,neutral
0000289.wav,9,question
0000295.wav,3,bored
0000300.wav,5,bored
0000301.wav,6,bored
0000302.wav,5,neutral
0000309.wav,0,bored
0000311.wav,3,excited
0000312.wav,6,excited
0000314.wav,8,neutral
0000316.wav,3,excited
0000321.wav,3,excited
0000324.wav,6,excited
0000325.wav,3,bored
0000327.wav,1,bored
0000332.wav,4,excited
0000334.wav,1,excited
0000337.wav,6,neutral
0000339.wav,6,neutral
0000345.wav,8,question
0000348.wav,4,excited
0000353.wav,1,bored
0000355.wav,4,neutral
0000356.wav,8,bored
0000363.wav,3,neutral
0000366.wav,9,excited
0000370.wav,4,excited
0000371.wav,6,bored
0000372.wav,5,bored
0000375.wav,6,neutral
0000376.wav,9,excited
0000377.wav,3,neutral
0000380.wav,8,question
0000384.wav,3,bored
0000386.wav,4,neutral
0000388.wav,0,neutral
0000390.wav,2,bored
0000392.wav,1,question
0000394.wav,3,excited
0000395.wav,7,excited
0000400.wav,9,question
0000407.wav,9,excited
0000412.wav,9,bored
0000413.wav,3,bored
0000427.wav,4,question
0000428.wav,8,neutral
0000432.wav,7,question
0000435.wav,1,neutral
0000436.wav,7,neutral
0000437.wav,8,neutral
0000446.wav,0,bored
0000449.wav,7,bored
0000450.wav,1,excited
0000457.wav,6,question
0000458.wav,1,question
0000465.wav,8,excited
0000467.wav,3,bored
0000471.wav,4,excited
0000475.wav,3,bored
0000476.wav,3,neutral
0000478.wav,6,excited
0000479.wav,3,bored
0000490.wav,3,excited
0000493.wav,7,neutral
0000499.wav,6,excited
0000504.wav,1,question
0000507.wav,7,question
0000511.wav,7,neutral
0000512.wav,5,neutral
0000513.wav,7,question
0000517.wav,8,question
0000519.wav,7,excited
0000520.wav,5,bored
0000523.wav,8,question
0000528.wav,4,bored
0000529.wav,5,bored
0000532.wav,3,excited
0000533.wav,2,excited
0000538.wav,8,excited
0000546.wav,9,excited
0000547.wav,7,excited
0000549.wav,1,neutral
0000550.wav,8,bored
0000555.wav,6,excited
0000556.wav,6,question
0000558.wav,2,question
0000565.wav,0,bored
0000567.wav,6,excited
0000570.wav,3,bored
0000572.wav,5,neutral
0000573.wav,9,bored
0000574.wav,5,question
0000585.wav,7,neutral
0000588.wav,5,bored
0000590.wav,3,neutral
0000591.wav,7,excited
0000599.wav,9,bored
0000601.wav,0,bored
0000602.wav,7,bored
0000603.wav,5,question
0000604.wav,0,bored
0000606.wav,9,bored
0000612.wav,8,neutral
0000620.wav,8,bored
0000626.wav,9,bored
0000630.wav,7,neutral
0000633.wav,9,excited
0000634.wav,8,bored
0000638.wav,6,excited
0000639.wav,5,question
0000640.wav,8,bored
0000642.wav,6,excited
0000643.wav,7,bored
0000647.wav,0,bored
0000650.wav,9,neutral
0000652.wav,6,bored
0000654.wav,6,excited
0000655.wav,4,excited
0000657.wav,5,neutral
0000662.wav,5,excited
0000663.wav,9,excited
0000665.wav,5,question
0000670.wav,6,question
0000671.wav,2,bored
0000673.wav,7,excited
0000678.wav,7,excited
0000680.wav,6,excited
0000681.wav,4,neutral
0000683.wav,4,excited
0000686.wav,2,bored
0000687.wav,1,excited
0000689.wav,6,bored
0000691.wav,3,excited
0000694.wav,6,excited
0000700.wav,0,question
0000701.wav,7,question
0000703.wav,4,neutral
0000705.wav,8,neutral
0000707.wav,1,question
0000709.wav,6,neutral
0000715.wav,6,excited
0000717.wav,0,neutral
0000719.wav,3,bored
0000721.wav,4,neutral
0000723.wav,5,question
0000724.wav,0,excited
0000729.wav,5,neutral
0000730.wav,7,bored
0000732.wav,1,bored
0000733.wav,4,question
0000735.wav,0,bored
0000738.wav,4,question
0000745.wav,1,bored
0000746.wav,7,excited
0000749.wav,5,neutral
0000753.wav,5,excited
0000761.wav,8,bored
0000768.wav,6,neutral
0000769.wav,3,bored
0000774.wav,5,excited
0000775.wav,6,question
0000778.wav,2,question
0000780.wav,2,bored
0000781.wav,1,excited
0000785.wav,8,neutral
0000786.wav,3,bored
0000787.wav,0,excited
0000790.wav,0,question
0000792.wav,1,bored
0000793.wav,3,bored
0000796.wav,6,question
0000798.wav,2,excited
0000799.wav,0,question
0000800.wav,1,neutral
0000801.wav,0,question
0000804.wav,1,neutral
0000805.wav,3,excited
0000807.wav,7,neutral
0000808.wav,8,neutral
0000812.wav,5,neutral
0000818.wav,9,bored
0000822.wav,5,bored
0000825.wav,6,excited
0000826.wav,8,excited
0000830.wav,0,excited
0000838.wav,8,bored
0000839.wav,9,excited
0000848.wav,6,bored
0000849.wav,4,excited
0000856.wav,4,neutral
0000857.wav,2,question
0000859.wav,9,bored
0000860.wav,1,neutral
0000864.wav,6,bored
0000866.wav,7,neutral
0000883.wav,3,neutral
0000884.wav,5,question
0000885.wav,2,excited
0000891.wav,3,excited
0000892.wav,1,excited
0000893.wav,2,excited
0000896.wav,9,neutral
0000898.wav,8,question
0000900.wav,0,question
0000908.wav,8,neutral
0000910.wav,8,bored
0000914.wav,9,neutral
0000918.wav,1,bored
0000919.wav,0,excited
0000921.wav,1,neutral
0000923.wav,5,bored
0000924.wav,2,neutral
0000930.wav,3,neutral
0000931.wav,5,bored
0000933.wav,0,bored
0000934.wav,9,excited
0000938.wav,4,excited
0000939.wav,0,neutral
0000940.wav,9,excited
0000944.wav,2,question
0000953.wav,3,question
0000955.wav,4,bored
0000956.wav,8,question
0000959.wav,6,excited
0000962.wav,0,excited
0000965.wav,3,bored
0000970.wav,7,excited
0000971.wav,1,question
0000972.wav,2,excited
0000976.wav,4,neutral
0000980.wav,6,question
0000985.wav,0,excited
0000991.wav,4,bored
0000992.wav,7,bored
0000997.wav,3,neutral
0000999.wav,6,bored
0001007.wav,1,excited
0001009.wav,6,excited
0001011.wav,0,bored
0001017.wav,7,excited
0001018.wav,2,excited
0001021.wav,9,excited
0001028.wav,9,bored
0001031.wav,3,bored
0001032.wav,2,excited
0001036.wav,8,excited
0001043.wav,2,neutral
0001044.wav,7,bored
0001046.wav,2,excited
0001049.wav,8,excited
0001050.wav,2,bored
0001055.wav,3,bored
0001057.wav,6,excited
0001058.wav,3,excited
0001065.wav,1,bored
0001069.wav,5,neutral
0001070.wav,3,excited
0001071.wav,6,question
0001072.wav,1,bored
0001074.wav,1,excited
0001075.wav,2,bored
0001085.wav,7,bored
0001089.wav,4,neutral
0001090.wav,9,excited
0001091.wav,9,excited
0001093.wav,9,question
0001095.wav,3,bored
0001096.wav,8,bored
0001097.wav,8,excited
0001098.wav,8,bored
0001102.wav,5,question
0001103.wav,6,bored
0001105.wav,3,question
0001115.wav,6,neutral
0001121.wav,0,excited
0001126.wav,2,question
0001127.wav,3,neutral
0001128.wav,7,bored
0001129.wav,3,neutral
0001136.wav,2,bored
0001137.wav,9,bored
0001140.wav,0,question
0001145.wav,5,question
0001149.wav,1,neutral
0001150.wav,7,excited
0001155.wav,4,neutral
0001159.wav,3,bored
0001160.wav,8,question
0001161.wav,9,neutral
0001168.wav,4,neutral
0001169.wav,1,question
0001170.wav,3,bored
0001174.wav,9,excited
0001175.wav,7,bored
0001177.wav,6,neutral
0001180.wav,3,question
0001187.wav,1,excited
0001188.wav,6,question
0001189.wav,3,neutral
0001190.wav,9,neutral
0001196.wav,9,question
0001197.wav,9,question
0001199.wav,2,excited
0001200.wav,6,question
0001203.wav,1,neutral
0001206.wav,8,question
0001207.wav,5,excited
0001208.wav,5,excited
0001209.wav,6,bored
0001210.wav,3,neutral
0001212.wav,4,neutral
